user_id,carbon_awareness_score,price_sensitivity_score,commute_flexibility_score,diet_flexibility_score,energy_saving_flexibility_score,digital_engagement_score,social_influence_score,synthetic_green_adoption_probability,synthetic_green_adoption_score_pct,behavior_segment,top_emission_driver,preferred_nudge_channel
U0001,40,36,22,47,44,66,23,0.906,91,Early adopter,transport,Email
U0002,97,51,43,40,81,27,46,0.983,98,High climate awareness,transport,App notification
U0003,28,7,28,51,34,67,50,0.864,86,Early adopter,electricity,WhatsApp
U0004,47,62,5,44,44,36,55,0.927,93,Price sensitive,food,WhatsApp
U0005,44,59,45,35,39,61,69,0.959,96,Early adopter,food,Email
U0006,39,33,52,56,71,72,61,0.966,97,Early adopter,food,In-app card
U0007,32,75,14,36,68,60,32,0.938,94,Price sensitive,transport,In-app card
U0008,57,67,91,30,44,51,52,0.981,98,Habit driven,transport,App notification
U0009,68,76,61,30,66,61,62,0.986,99,Price sensitive,electricity,In-app card
U0010,51,44,54,70,51,84,61,0.979,98,Early adopter,transport,Push reminder
U0011,54,66,35,47,28,58,67,0.965,96,Price sensitive,electricity,Push reminder
U0012,63,58,17,37,53,37,12,0.933,93,High climate awareness,waste,App notification
U0013,78,56,49,55,30,51,78,0.982,98,High climate awareness,waste,App notification
U0014,49,49,30,24,72,10,38,0.919,92,Low awareness,food,In-app card
U0015,62,28,26,58,52,31,49,0.942,94,High climate awareness,food,In-app card
U0016,60,59,54,11,45,56,38,0.956,96,High climate awareness,transport,Push reminder
U0017,70,42,37,11,57,78,40,0.957,96,Early adopter,food,Push reminder
U0018,12,53,41,44,55,46,77,0.929,93,Low awareness,waste,Email
U0019,56,55,98,36,57,45,65,0.984,98,Habit driven,transport,Push reminder
U0020,63,48,25,10,58,32,74,0.941,94,High climate awareness,transport,App notification
U0021,35,51,25,42,50,68,17,0.917,92,Early adopter,electricity,Email
U0022,69,5,53,17,38,55,79,0.94,94,High climate awareness,food,App notification
U0023,39,54,71,33,74,60,58,0.972,97,Low awareness,food,In-app card
U0024,76,42,50,7,39,38,72,0.957,96,High climate awareness,transport,Email
U0025,89,28,50,27,39,92,42,0.973,97,Early adopter,transport,App notification
U0026,68,56,15,0,59,94,54,0.956,96,Early adopter,electricity,Email
U0027,69,75,29,55,14,74,36,0.97,97,Price sensitive,transport,Push reminder
U0028,35,63,6,50,27,33,49,0.896,90,Price sensitive,transport,In-app card
U0029,54,82,19,64,72,66,32,0.977,98,Price sensitive,transport,App notification
U0030,30,15,85,34,27,37,51,0.909,91,Habit driven,food,Email
U0031,50,61,85,69,0,88,72,0.984,98,Early adopter,transport,App notification
U0032,65,34,39,66,60,46,68,0.972,97,Time constrained,transport,App notification
U0033,63,60,33,41,34,21,42,0.946,95,High climate awareness,waste,App notification
U0034,79,41,36,60,34,63,39,0.97,97,High climate awareness,transport,Push reminder
U0035,53,70,2,7,3,36,85,0.893,89,Price sensitive,transport,WhatsApp
U0036,72,73,18,98,55,68,57,0.988,99,Time constrained,food,WhatsApp
U0037,66,49,66,30,36,98,45,0.977,98,Early adopter,shopping,WhatsApp
U0038,98,98,73,98,31,73,49,0.997,100,High climate awareness,transport,Push reminder
U0039,26,85,36,31,80,58,71,0.968,97,Price sensitive,electricity,Push reminder
U0040,53,65,42,22,47,85,58,0.968,97,Early adopter,transport,Push reminder
U0041,71,55,2,12,44,37,37,0.913,91,High climate awareness,transport,App notification
U0042,83,53,65,45,78,80,36,0.989,99,High climate awareness,electricity,App notification
U0043,93,62,55,61,34,74,59,0.99,99,High climate awareness,transport,WhatsApp
U0044,43,64,30,47,47,33,29,0.935,94,Price sensitive,transport,App notification
U0045,65,39,28,81,27,89,41,0.969,97,Early adopter,electricity,App notification
U0046,58,51,49,42,45,78,19,0.962,96,Early adopter,transport,App notification
U0047,41,39,21,44,60,20,38,0.899,90,Low awareness,transport,App notification
U0048,34,48,24,33,15,53,33,0.866,87,Early adopter,food,Push reminder
U0049,53,70,37,56,72,65,47,0.978,98,Low awareness,electricity,Push reminder
U0050,65,61,67,61,66,60,54,0.987,99,Habit driven,electricity,Email
U0051,63,21,60,48,44,67,56,0.965,96,Early adopter,food,Email
U0052,59,98,62,43,36,57,50,0.984,98,Price sensitive,transport,App notification
U0053,84,79,54,84,9,69,73,0.991,99,High climate awareness,transport,In-app card
U0054,83,70,52,44,89,68,43,0.99,99,Low awareness,electricity,In-app card
U0055,43,56,32,73,32,98,33,0.964,96,Early adopter,transport,Email
U0056,38,50,34,66,67,55,98,0.973,97,Low awareness,shopping,Push reminder
U0057,53,52,16,40,55,36,38,0.93,93,Low awareness,transport,In-app card
U0058,44,70,16,15,53,76,54,0.943,94,Early adopter,shopping,App notification
U0059,53,48,67,62,50,54,48,0.975,98,Habit driven,food,App notification
U0060,49,52,35,54,66,52,31,0.958,96,Low awareness,transport,In-app card
U0061,70,82,32,0,35,92,41,0.967,97,Early adopter,waste,App notification
U0062,48,55,67,40,61,56,59,0.974,97,Habit driven,electricity,App notification
U0063,61,44,14,41,24,71,47,0.934,93,Early adopter,food,In-app card
U0064,57,25,20,1,71,50,74,0.918,92,Low awareness,shopping,App notification
U0065,9,85,43,50,28,70,40,0.938,94,Price sensitive,transport,Email
U0066,35,62,31,2,57,16,74,0.907,91,Price sensitive,food,Email
U0067,93,61,33,31,63,59,0,0.974,97,High climate awareness,food,In-app card
U0068,57,40,40,72,55,67,23,0.966,97,Time constrained,shopping,WhatsApp
U0069,51,46,65,14,51,58,17,0.943,94,Habit driven,transport,WhatsApp
U0070,83,46,52,12,54,51,32,0.965,97,High climate awareness,electricity,Push reminder
U0071,98,47,40,63,34,68,58,0.986,99,High climate awareness,food,WhatsApp
U0072,43,85,55,63,56,97,41,0.986,99,Early adopter,food,In-app card
U0073,66,75,44,12,20,58,67,0.965,96,Price sensitive,food,Email
U0074,74,29,31,55,66,92,36,0.973,97,Early adopter,food,In-app card
U0075,43,65,93,60,65,85,58,0.99,99,Habit driven,transport,Push reminder
U0076,78,63,12,47,6,74,43,0.958,96,High climate awareness,electricity,In-app card
U0077,92,34,60,26,71,37,50,0.978,98,High climate awareness,food,App notification
U0078,94,69,44,0,39,69,37,0.975,98,High climate awareness,waste,WhatsApp
U0079,83,59,38,30,29,81,39,0.973,97,High climate awareness,transport,Push reminder
U0080,38,66,28,32,25,50,48,0.921,92,Price sensitive,food,Push reminder
U0081,52,98,54,0,45,57,35,0.966,97,Price sensitive,transport,WhatsApp
U0082,63,16,70,4,44,45,54,0.935,93,Habit driven,waste,WhatsApp
U0083,54,70,45,53,89,76,42,0.984,98,Low awareness,food,Push reminder
U0084,40,51,12,0,31,62,50,0.863,86,Early adopter,food,WhatsApp
U0085,32,56,79,77,64,61,40,0.979,98,Habit driven,waste,App notification
U0086,70,51,32,0,48,81,73,0.962,96,Early adopter,electricity,Email
U0087,58,54,36,7,92,74,64,0.97,97,Low awareness,food,App notification
U0088,56,70,74,7,28,72,37,0.966,97,Habit driven,transport,WhatsApp
U0089,72,19,55,54,69,66,0,0.963,96,High climate awareness,transport,In-app card
U0090,24,15,0,48,35,29,48,0.759,76,Time constrained,electricity,In-app card
U0091,38,50,75,75,51,94,35,0.98,98,Early adopter,food,WhatsApp
U0092,45,65,19,25,25,46,74,0.928,93,Price sensitive,electricity,Email
U0093,64,55,47,69,43,78,64,0.983,98,Early adopter,transport,WhatsApp
U0094,58,77,63,83,40,75,27,0.987,99,Time constrained,electricity,In-app card
