Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Albania,ALB,1996,900034,411154,1480630,282193,94022
Albania,ALB,2002,818304,372084,1401061,331580,127981
Albania,ALB,2005,1071754,434202,1221763,203957,79811
Albania,ALB,2008,1216764,450136,1107202,148829,24383
Albania,ALB,2012,1133125,414508,1126111,135626,51338
Albania,ALB,2014,1182598,301570,942923,244708,101968
Albania,ALB,2015,1491058,345170,766174,98441,30450
Albania,ALB,2016,1482809,322584,726750,126649,30677
Albania,ALB,2017,1463928,319338,740231,86535,38253
Albania,ALB,2018,1700356,278202,537060,65776,26339
Albania,ALB,2019,1693852,322009,506450,38496,6994
Albania,ALB,2020,1743268,281307,450224,45061,8620
Algeria,DZA,1988,5385347,2395524,10071758,3300355,2956552
Algeria,DZA,1995,6985447,2922750,11472917,3727602,3361476
Algeria,DZA,2011,15487653,6051384,13760960,1729655,0
Angola,AGO,2000,3765529,1174425,4790189,2184184,4396533
Angola,AGO,2008,4748918,1472034,7367891,3551088,4856783
Angola,AGO,2018,4458374,1836811,8289672,4525471,12370168
Argentina (urban),,1980,20610433,870664,1730419,0,0
Argentina (urban),,1986,23989926,755977,1013383,226773,332861
Argentina (urban),,1987,23277624,993109,2017945,169502,399412
Argentina (urban),,1991,22089585,1880842,3879151,760802,371430
Argentina (urban),,1992,22222769,1980101,3953057,584596,735109
Argentina (urban),,1993,22807483,1946355,3663017,672930,872657
Argentina (urban),,1994,22880865,1937081,3989685,815989,823992
Argentina (urban),,1995,21506815,2010647,4862890,963027,1583247
Argentina (urban),,1996,21303204,1976099,5294645,1119848,1698788
Argentina (urban),,1997,22115209,1838531,5194749,1040300,1659963
Argentina (urban),,1998,21589245,1978131,5573317,1327814,1828057
Argentina (urban),,1999,21443340,2132551,5841307,1390745,1933869
Argentina (urban),,2000,20886801,2033881,6242013,1585508,2437749
Argentina (urban),,2001,19648337,2454947,5789307,2125666,3606407
Argentina (urban),,2002,15006641,2342550,8057677,2842931,5809921
Argentina (urban),,2003,20573305,2511107,6649380,1929398,2823554
Argentina (urban),,2004,22712687,2226476,6273347,1596707,2101711
Argentina (urban),,2005,24567286,2117444,5571915,1523038,1563809
Argentina (urban),,2006,26698122,1951623,4714249,1176643,1239467
Argentina (urban),,2007,27236000,2140503,4800194,1031425,998910
Argentina (urban),,2008,28653059,1873441,4181579,976048,961249
Argentina (urban),,2009,29640205,1823056,3973257,759990,908220
Argentina (urban),,2010,30636408,1833671,3792341,730917,576487
Argentina (urban),,2011,32026439,1686558,3421650,425814,459187
Argentina (urban),,2012,32826741,1659615,2986550,492126,488196
Argentina (urban),,2013,33126949,1715115,3163676,449193,423467
Argentina (urban),,2014,32634114,2087705,3620812,563859,416450
Argentina (urban),,2016,33531103,2040997,3595781,528299,510220
Argentina (urban),,2017,34907365,1709662,2961109,572441,452419
Argentina (urban),,2018,33718445,2134092,3796371,658621,671359
Argentina (urban),,2019,33002568,2154185,4571276,887202,695949
Argentina (urban),,2020,31252061,2703867,5836514,845951,912863
Argentina (urban),,2021,33251816,2530740,4551648,797967,568393
Argentina (urban),,2022,33384182,2630794,4598399,671706,541427
Argentina (urban),,2023,32478762,2600869,5598101,820224,485952
Argentina (urban),,2024,33300655,2463904,5237478,757400,406343
Armenia,ARM,1999,315982,179074,1251957,749786,670487
