country,year,coal_share_pct,gas_share_pct,oil_share_pct,nuclear_share_pct,hydro_share_pct,wind_share_pct,solar_share_pct,other_share_pct,renewable_share_pct,grid_intensity_kg_co2_per_kwh
India,2023,45.3,9.6,2.4,7.1,18.3,8.2,4.6,4.5,31.1,0.526
India,2024,49.8,12.2,3.8,8.2,10.0,4.0,8.2,3.8,22.2,0.581
India,2025,56.1,7.3,3.6,0.2,16.9,7.9,7.4,0.6,32.2,0.625
United States,2023,14.4,47.1,3.9,4.3,8.7,3.9,13.8,3.9,26.4,0.412
United States,2024,6.5,47.6,4.7,4.0,16.2,12.5,6.0,2.5,34.7,0.424
United States,2025,12.0,42.4,0.4,5.6,13.7,12.6,11.2,2.1,37.5,0.359
China,2023,62.0,15.3,3.1,6.1,8.7,2.7,0.9,1.2,12.3,0.712
China,2024,55.0,13.6,6.1,6.4,6.8,5.6,6.1,0.4,18.5,0.616
China,2025,60.4,16.5,2.3,0.2,6.4,7.5,4.6,2.1,18.5,0.689
Brazil,2023,8.0,14.9,3.3,7.2,48.8,7.4,9.3,1.1,65.5,0.19
Brazil,2024,0.0,5.8,4.6,8.6,60.9,5.0,10.8,4.3,76.7,0.168
Brazil,2025,1.0,16.3,2.5,4.0,52.1,16.7,5.2,2.2,74.0,0.083
France,2023,3.3,12.1,1.8,52.2,13.8,9.4,5.4,2.0,28.6,0.158
France,2024,0.3,8.2,2.2,61.1,11.3,8.8,4.1,4.0,24.2,0.081
France,2025,13.6,16.0,3.5,37.9,15.6,5.0,4.9,3.5,25.5,0.217
Germany,2023,1.7,8.1,3.8,10.6,23.3,30.3,18.5,3.7,72.1,0.159
Germany,2024,0.5,24.0,1.8,0.8,18.8,34.5,14.0,5.6,67.3,0.162
Germany,2025,2.6,17.4,2.2,9.9,14.6,23.9,27.8,1.6,66.3,0.147
United Kingdom,2023,0.2,13.4,1.7,16.8,18.5,19.3,27.5,2.6,65.3,0.108
United Kingdom,2024,7.8,10.4,2.4,13.9,12.8,24.2,27.1,1.4,64.1,0.207
United Kingdom,2025,0.0,12.8,0.8,0.1,28.4,25.4,30.9,1.6,84.7,0.069
Canada,2023,1.2,12.5,0.7,6.3,57.6,12.2,7.9,1.6,77.7,0.119
