user_id,age,occupation,city_type,commute_mode,commute_days_per_week,avg_commute_distance_km_per_day,weekly_commute_distance_km,monthly_flight_distance_km,monthly_ride_share_km,vehicle_ownership,estimated_monthly_transport_emissions_kg_co2e
U0001,38,Office Worker,Rural,Car - solo,6,19.7,118.0,262.7,0.3,Car,165.18
U0002,36,Business Traveler,Metro,Car - solo,4,2.3,9.3,544.7,14.2,Car,99.24
U0003,47,Office Worker,Urban,Bus,4,25.4,101.4,154.6,3.9,Shared,65.04
U0004,35,Homemaker,Rural,Car - solo,6,14.4,86.3,478.5,10.3,Car,151.74
U0005,28,Homemaker,Metro,Bus,6,2.0,12.2,127.6,7.9,Shared,38.74
U0006,29,Remote Worker,Rural,Cycling,4,8.6,34.6,54.7,1.0,None,9.1
U0007,48,Business Traveler,Metro,Motorcycle,6,13.0,77.8,263.2,4.2,Two-wheeler,78.39
U0008,39,Office Worker,Urban,Metro/Subway,6,3.8,22.6,95.8,7.4,Shared,29.85
U0009,26,Freelancer,Urban,Bus,4,10.5,42.1,74.0,2.7,Shared,28.81
U0010,22,Freelancer,Semi-Urban,Walking,4,7.0,28.0,294.5,9.0,None,76.81
U0011,27,Remote Worker,Semi-Urban,Walking,5,1.6,8.2,11.2,2.7,None,2.35
U0012,29,Student,Urban,Metro/Subway,4,4.3,17.4,3.2,0.0,Shared,3.61
U0013,30,Student,Metro,Electric Train,3,7.5,22.4,146.8,5.1,Shared,27.81
U0014,41,Shop Owner,Urban,Motorcycle,5,31.1,155.7,27.9,3.7,Two-wheeler,74.71
U0015,24,Freelancer,Metro,Bus,5,4.5,22.6,189.9,18.3,Shared,43.16
U0016,29,Remote Worker,Semi-Urban,Bus,3,11.1,33.3,135.8,1.4,Shared,47.74
U0017,50,Homemaker,Semi-Urban,Motorcycle,5,23.1,115.4,124.8,4.7,Two-wheeler,84.2
U0018,18,Office Worker,Urban,Motorcycle,6,20.5,122.9,225.5,1.5,Two-wheeler,91.84
U0019,62,Retired,Urban,Metro/Subway,5,13.2,66.1,806.2,0.5,Shared,143.25
U0020,32,Student,Urban,Cycling,3,8.3,24.9,166.3,11.5,None,29.32
U0021,41,Homemaker,Urban,Bus,5,10.6,52.8,191.5,4.1,Shared,52.33
U0022,50,Freelancer,Rural,Bus,6,16.3,97.9,13.5,9.2,Shared,42.97
U0023,20,Freelancer,Urban,Motorcycle,6,23.9,143.6,132.2,2.3,Two-wheeler,86.01
U0024,32,Remote Worker,Metro,Walking,4,10.5,42.1,111.3,0.6,None,18.27
U0025,19,Student,Urban,Metro/Subway,5,15.0,74.9,105.7,8.6,Shared,32.17
U0026,35,Student,Metro,Electric Train,4,15.2,60.8,19.3,0.8,Shared,12.96
U0027,27,Remote Worker,Metro,Carpool,5,27.9,139.5,15.0,6.6,Shared,62.5
U0028,51,Student,Metro,Walking,3,15.2,45.7,101.8,0.4,None,16.68
U0029,20,Remote Worker,Urban,Walking,6,0.5,3.0,295.6,0.4,None,48.25
U0030,31,Student,Urban,Electric Train,1,17.7,17.7,49.3,21.2,Shared,18.95
U0031,65,Homemaker,Metro,Metro/Subway,5,6.3,31.3,82.4,0.0,Shared,19.0
U0032,25,Student,Semi-Urban,Metro/Subway,4,13.5,54.0,48.3,7.0,Shared,23.25
U0033,40,Freelancer,Urban,Motorcycle,5,16.8,83.9,81.5,7.2,Two-wheeler,59.6
U0034,43,Freelancer,Semi-Urban,Carpool,4,23.1,92.5,76.6,45.1,Shared,59.19
U0035,24,Remote Worker,Urban,Cycling,6,0.5,3.0,216.0,0.1,None,35.24
U0036,38,Remote Worker,Urban,Carpool,4,16.1,64.3,157.3,1.6,Shared,52.39
U0037,35,Shop Owner,Metro,Carpool,4,19.4,77.6,11.6,44.1,Shared,43.34
U0038,26,Shop Owner,Urban,Bus,5,18.9,94.3,232.2,0.2,Shared,74.23
U0039,40,Shop Owner,Urban,Cycling,3,0.5,1.5,70.2,0.0,None,11.44
U0040,47,Homemaker,Urban,Cycling,5,0.5,2.5,106.8,5.6,None,18.48
U0041,36,Remote Worker,Rural,Walking,4,9.9,39.4,11.5,2.3,None,2.3
U0042,39,Student,Rural,Electric Train,4,21.3,85.0,250.4,0.4,Shared,74.97
U0043,35,Homemaker,Semi-Urban,Motorcycle,5,17.2,86.0,96.0,3.7,Two-wheeler,63.57
U0044,38,Business Traveler,Semi-Urban,Carpool,3,14.4,43.2,321.0,43.4,Shared,107.98
U0045,31,Office Worker,Urban,Bus,5,13.1,65.4,205.5,5.1,Shared,78.59
U0046,18,Remote Worker,Semi-Urban,Bus,6,11.0,66.0,26.6,7.2,Shared,33.59
U0047,28,Office Worker,Metro,Metro/Subway,6,0.5,3.0,19.9,1.4,Shared,5.87
U0048,18,Office Worker,Urban,Metro/Subway,4,14.8,59.1,75.6,2.5,Shared,23.31
U0049,18,Office Worker,Metro,Metro/Subway,5,4.4,21.8,56.5,2.3,Shared,13.53
U0050,19,Office Worker,Metro,Metro/Subway,4,6.6,26.6,12.0,2.6,Shared,7.18
U0051,39,Business Traveler,Urban,Car - solo,4,16.7,66.7,456.1,3.5,Car,130.46
U0052,39,Freelancer,Urban,Car - solo,6,16.5,99.0,182.6,11.4,Car,114.29
U0053,34,Freelancer,Urban,Car - solo,4,9.5,37.9,47.2,33.2,Car,45.54
U0054,30,Shop Owner,Semi-Urban,Carpool,5,12.8,64.2,383.8,2.0,Shared,89.35
U0055,36,Office Worker,Urban,Carpool,3,21.4,64.1,46.9,5.0,Shared,35.0
U0056,36,Homemaker,Metro,Bus,5,9.7,48.5,79.5,12.3,Shared,34.02
U0057,21,Student,Semi-Urban,Electric Train,6,19.7,118.3,246.9,1.2,Shared,55.85
U0058,22,Office Worker,Metro,Bus,5,0.5,2.5,96.8,0.1,Shared,16.75
U0059,18,Student,Rural,Metro/Subway,3,14.6,43.7,283.0,2.3,Shared,54.33
U0060,50,Homemaker,Semi-Urban,Cycling,5,0.5,2.5,114.0,10.8,None,31.15
U0061,29,Office Worker,Metro,Metro/Subway,5,16.2,81.0,149.7,9.5,Shared,40.63
U0062,31,Freelancer,Urban,Bus,7,8.6,60.0,225.7,16.0,Shared,62.97
U0063,32,Homemaker,Urban,Motorcycle,4,21.8,87.2,58.5,0.8,Two-wheeler,48.57
U0064,35,Remote Worker,Semi-Urban,Carpool,6,14.9,89.6,76.7,2.4,Shared,49.84
U0065,31,Shop Owner,Semi-Urban,Motorcycle,5,29.3,146.3,39.3,16.2,Two-wheeler,74.77
U0066,18,Freelancer,Rural,Car - solo,5,33.9,169.3,82.9,40.3,Car,162.02
U0067,42,Shop Owner,Rural,Bus,5,3.2,15.8,14.6,19.9,Shared,12.29
U0068,51,Student,Rural,Bus,4,16.6,66.3,6.4,1.3,Shared,26.82
U0069,47,Office Worker,Urban,Carpool,4,21.8,87.1,320.2,3.8,Shared,88.74
U0070,21,Student,Metro,Metro/Subway,4,9.1,36.2,277.4,0.0,Shared,51.65
U0071,21,Retired,Metro,Electric Train,7,10.4,72.5,105.6,15.1,Shared,29.52
U0072,30,Student,Urban,Metro/Subway,5,0.5,2.5,1.7,0.4,Shared,0.96
U0073,28,Homemaker,Urban,Car - solo,3,28.5,85.5,247.5,3.8,Car,112.17
U0074,55,Shop Owner,Metro,Metro/Subway,4,12.9,51.7,18.5,0.8,Shared,14.05
U0075,49,Business Traveler,Urban,Metro/Subway,4,4.4,17.5,91.6,9.6,Shared,19.88
U0076,50,Office Worker,Urban,Car - solo,3,28.5,85.6,1.7,44.5,Car,80.13
U0077,49,Student,Semi-Urban,Metro/Subway,4,10.9,43.6,68.4,3.1,Shared,19.48
U0078,30,Student,Semi-Urban,Electric Train,2,10.6,21.2,7.5,4.7,Shared,4.88
U0079,37,Student,Metro,Electric Train,4,15.9,63.6,423.1,16.9,Shared,80.47
U0080,42,Freelancer,Metro,Metro/Subway,4,11.2,44.8,12.0,1.0,Shared,11.19
U0081,37,Office Worker,Urban,Carpool,5,19.1,95.5,34.6,4.6,Shared,45.81
U0082,38,Student,Urban,Metro/Subway,5,5.8,28.9,100.1,2.0,Shared,31.05
U0083,61,Business Traveler,Semi-Urban,Car - solo,2,24.9,49.7,124.8,30.9,Car,79.12
U0084,39,Business Traveler,Semi-Urban,Metro/Subway,4,13.8,55.2,308.8,0.0,Shared,88.55
U0085,19,Office Worker,Urban,Walking,6,10.8,64.6,95.3,1.2,None,15.76
U0086,19,Remote Worker,Metro,Carpool,6,16.9,101.3,62.2,23.5,Shared,56.3
U0087,18,Remote Worker,Rural,Walking,5,4.5,22.5,274.2,8.8,None,46.38
U0088,67,Shop Owner,Urban,Metro/Subway,4,0.5,2.0,5.3,0.7,Shared,1.36
U0089,18,Office Worker,Metro,Car - solo,3,23.9,71.7,81.9,9.4,Car,74.78
U0090,43,Student,Rural,Metro/Subway,5,6.2,30.9,55.2,0.5,Shared,14.58
U0091,46,Student,Rural,Bus,3,12.1,36.2,67.4,0.7,Shared,25.05
U0092,27,Remote Worker,Metro,Walking,5,5.7,28.6,146.0,1.8,None,24.15
U0093,36,Shop Owner,Urban,Metro/Subway,5,0.5,2.5,33.9,9.9,Shared,11.0
U0094,33,Remote Worker,Metro,Bus,5,14.9,74.6,171.6,5.3,Shared,73.52
U0095,29,Student,Rural,Metro/Subway,4,5.9,23.5,169.7,10.3,Shared,33.8
U0096,31,Office Worker,Urban,Car - solo,5,21.9,109.4,581.2,1.7,Car,239.45
U0097,44,Remote Worker,Rural,Carpool,3,15.3,46.0,127.2,18.5,Shared,43.19
U0098,25,Remote Worker,Urban,Carpool,5,14.6,73.2,152.1,0.4,Shared,54.99
U0099,39,Office Worker,Urban,Car - solo,6,9.3,55.9,1.0,23.8,Car,51.27
U0100,43,Office Worker,Metro,Metro/Subway,6,13.9,83.4,93.3,4.5,Shared,30.87
U0101,39,Retired,Urban,Bus,4,10.4,41.8,80.4,12.3,Shared,38.96
U0102,38,Office Worker,Semi-Urban,Bus,5,13.9,69.3,334.4,0.0,Shared,81.21
U0103,34,Business Traveler,Urban,Car - solo,7,13.6,94.9,317.2,4.7,Car,160.67
U0104,26,Office Worker,Urban,Carpool,2,24.1,48.3,23.4,22.7,Shared,28.04
U0105,30,Freelancer,Metro,Bus,3,13.1,39.4,457.0,1.2,Shared,89.93
U0106,29,Office Worker,Metro,Metro/Subway,4,20.8,83.1,193.3,0.5,Shared,46.37
U0107,31,Remote Worker,Semi-Urban,Carpool,4,20.4,81.4,200.2,6.2,Shared,85.75
U0108,45,Student,Rural,Metro/Subway,4,12.4,49.6,588.0,0.1,Shared,104.68
U0109,19,Student,Rural,Bus,3,9.9,29.6,573.8,6.2,Shared,158.9
U0110,48,Retired,Semi-Urban,Car - solo,2,24.5,49.1,92.1,20.4,Car,59.74
U0111,33,Office Worker,Urban,Car - solo,6,17.4,104.2,456.8,34.6,Car,167.74
U0112,47,Office Worker,Urban,Motorcycle,6,20.4,122.5,44.7,0.5,Two-wheeler,66.09
U0113,18,Office Worker,Semi-Urban,Bus,4,14.6,58.5,292.4,1.7,Shared,70.53
U0114,18,Remote Worker,Urban,Carpool,3,16.4,49.1,135.1,4.3,Shared,43.03
U0115,51,Shop Owner,Metro,Electric Train,6,12.3,73.7,159.8,12.5,Shared,38.04
U0116,39,Office Worker,Metro,Metro/Subway,5,9.2,46.1,25.9,1.2,Shared,12.63
U0117,32,Student,Rural,Bus,4,16.0,64.0,555.2,0.0,Shared,166.23
U0118,29,Office Worker,Semi-Urban,Cycling,5,0.5,2.5,275.8,5.5,None,71.4
U0119,40,Shop Owner,Urban,Carpool,5,24.3,121.5,282.8,16.1,Shared,99.19
U0120,44,Remote Worker,Metro,Bus,4,12.0,47.9,144.2,6.7,Shared,43.24
U0121,35,Office Worker,Semi-Urban,Bus,5,13.8,69.1,324.9,1.2,Shared,79.8
U0122,39,Shop Owner,Urban,Car - solo,4,10.1,40.2,416.4,9.3,Car,103.13
U0123,53,Homemaker,Urban,Carpool,3,8.1,24.4,265.2,21.7,Shared,81.82
U0124,68,Shop Owner,Rural,Car - solo,5,19.7,98.4,116.1,40.9,Car,108.6
