country,year,urban_population_pct,waste_generated_kg_per_capita_per_day,recycling_rate_pct,composting_rate_pct,incineration_rate_pct,landfill_rate_pct,estimated_waste_emissions_kg_co2e_per_kg_waste
India,2023,36,0.76,36.3,12.9,0.9,49.9,0.486
India,2024,36,0.86,13.7,17.8,6.2,62.3,0.521
India,2025,36,0.68,16.3,3.1,4.6,76.0,0.493
United States,2023,83,1.48,46.4,19.1,12.7,21.8,0.73
United States,2024,83,1.31,53.6,25.5,15.5,5.5,0.502
United States,2025,83,1.36,42.3,25.0,20.1,12.6,0.577
China,2023,64,0.82,29.4,21.8,13.7,35.1,0.445
China,2024,64,1.2,30.5,13.4,3.9,52.2,0.676
China,2025,64,1.04,38.5,2.0,12.2,47.3,0.577
Brazil,2023,87,0.9,46.0,10.2,5.5,38.3,0.49
Brazil,2024,87,0.79,36.8,16.6,13.3,33.2,0.456
Brazil,2025,87,0.7,34.3,1.9,9.1,54.7,0.437
France,2023,81,1.76,41.4,13.0,19.0,26.5,0.847
France,2024,81,1.68,48.7,18.5,4.7,28.2,0.924
France,2025,81,1.23,41.9,9.6,8.9,39.6,0.631
Germany,2023,78,1.37,22.3,12.0,19.3,46.4,0.822
Germany,2024,78,1.43,33.0,4.0,19.2,43.8,0.793
Germany,2025,78,1.34,40.0,17.5,23.2,19.2,0.654
United Kingdom,2023,84,0.87,37.1,4.7,17.9,40.3,0.48
United Kingdom,2024,84,1.4,36.3,6.6,8.9,48.3,0.763
United Kingdom,2025,84,1.06,25.5,6.6,7.7,60.2,0.704
Canada,2023,82,1.53,49.5,21.9,15.2,13.3,0.603
Canada,2024,82,1.87,54.7,15.8,16.0,13.5,0.796
Canada,2025,82,1.43,46.9,17.9,12.0,23.3,0.598
Australia,2023,86,1.1,54.5,5.4,17.9,22.2,0.467
Australia,2024,86,1.27,38.4,16.1,9.2,36.4,0.649
Australia,2025,86,1.47,33.5,23.5,7.0,36.0,0.767
Japan,2023,92,1.52,27.0,12.1,13.9,47.0,0.852
Japan,2024,92,1.28,45.8,10.0,17.0,27.2,0.635
Japan,2025,92,1.19,51.5,8.4,17.5,22.7,0.524
Norway,2023,84,1.35,42.2,16.2,2.7,38.9,0.755
Norway,2024,84,1.39,46.7,17.2,16.8,19.4,0.538
Norway,2025,84,1.22,47.1,15.4,10.9,26.6,0.616
Sweden,2023,88,1.36,52.7,21.5,16.2,9.7,0.566
Sweden,2024,88,1.3,52.7,15.5,13.3,18.4,0.528
Sweden,2025,88,1.32,32.7,18.8,20.9,27.6,0.682
Denmark,2023,88,1.86,39.2,17.8,8.9,34.1,0.956
Denmark,2024,88,1.14,49.5,12.1,4.5,33.9,0.571
Denmark,2025,88,1.73,47.9,18.8,15.4,17.9,0.752
South Africa,2023,67,0.99,33.7,2.7,13.0,50.6,0.632
South Africa,2024,67,0.95,26.0,4.8,18.0,51.2,0.565
South Africa,2025,67,1.11,29.3,7.8,5.4,57.5,0.674
Indonesia,2023,58,1.06,19.5,11.4,8.9,60.3,0.717
Indonesia,2024,58,0.82,40.2,7.8,21.4,30.7,0.373
Indonesia,2025,58,1.37,28.1,9.9,5.4,56.5,0.801
Mexico,2023,81,0.95,29.3,11.1,15.6,44.0,0.55
Mexico,2024,81,1.09,36.8,0.0,1.7,61.5,0.666
Mexico,2025,81,0.98,14.3,5.9,3.2,76.7,0.735
Turkey,2023,77,1.19,31.8,0.0,9.6,58.6,0.776
Turkey,2024,77,1.26,52.3,17.4,11.6,18.6,0.546
Turkey,2025,77,0.98,48.4,11.7,14.0,26.0,0.451
Italy,2023,71,1.01,34.4,10.3,13.4,42.0,0.541
Italy,2024,71,1.23,50.2,2.1,1.8,45.9,0.762
Italy,2025,71,0.97,34.6,15.8,12.1,37.5,0.518
Spain,2023,81,1.24,63.6,22.8,8.9,4.7,0.503
Spain,2024,81,1.32,38.2,6.7,14.7,40.5,0.718
Spain,2025,81,1.16,30.7,18.1,8.6,42.6,0.628
Netherlands,2023,92,1.49,40.6,12.8,19.2,27.5,0.785
Netherlands,2024,92,0.97,40.7,5.0,12.1,42.2,0.542
Netherlands,2025,92,1.29,31.7,7.0,17.6,43.6,0.79
Saudi Arabia,2023,84,1.04,40.5,18.6,14.6,26.2,0.465
Saudi Arabia,2024,84,1.32,46.8,12.4,14.6,26.3,0.636
Saudi Arabia,2025,84,1.32,52.0,11.3,9.8,26.9,0.726
United Arab Emirates,2023,87,1.52,21.4,23.1,22.7,32.8,0.8
United Arab Emirates,2024,87,1.64,69.0,9.8,17.1,4.1,0.706
United Arab Emirates,2025,87,1.92,43.7,27.7,20.4,8.2,0.838
Egypt,2023,43,1.07,32.5,21.9,5.8,39.9,0.648
Egypt,2024,43,1.3,43.0,8.2,9.6,39.2,0.66
Egypt,2025,43,0.85,35.6,0.0,6.9,57.4,0.59
Kenya,2023,29,0.72,34.3,9.9,4.5,51.3,0.435
